Security Code,Security Name,Security Group,Open,High ,Low,LTP,No. of Shares Traded ,Total Turnover  (<img src='../../../include/images/rs.gif' alt='my image' /> Lac),No. of Trades
500477,ASHOKLEY,A,86.55,92.75,86,92.5,13984564,12854.00,16310
532174,ICICIBANK,A,263,274.2,260.95,272.05,3212130,8604.00,18988
500112,SBIN,A,260,268.25,259.5,266.5,2597953,6878.00,20952
532500,MARUTI,A,5801,5933,5801,5921.5,89187,5250.00,6954
500875,ITC,A,264,266.7,256.35,257.5,1832925,4797.00,13513
500033,FORCEMOT,B,4251,4356,4226,4240.45,97958,4209.00,8451
505200,EICHERMOT,A,23115.05,23605,23115.05,23465.6,17799,4178.00,3364
532648,YESBANK,A,1406.5,1421.55,1391,1398.2,281961,3959.00,8169
500182,HEROMOTOCO,A,3235,3263,3201.05,3216,121590,3920.00,2102
512599,ADANIENT,A,80.4,93.7,80.1,92.5,4367740,3881.00,21416
533228,BHARATFIN,A,749.2,765,738.1,742.3,503694,3782.00,11572
500440,HINDALCO,A,189.35,194.85,188.1,190.7,1971299,3779.00,10400
500285,SPICEJET,B,63,66.5,62.4,66,5753907,3732.00,11787
535789,IBULHSGFIN,A,760,761,750,753.05,488696,3699.00,4446
532488,DIVISLAB,A,677,715.95,675.4,708,479823,3382.00,15604
500103,BHEL,A,132.75,142,132.6,139.1,2279749,3152.00,14023
500570,TATAMOTORS,A,552.45,553,539.9,544.35,575424,3135.00,4329
500209,INFY,A,935,948,926.4,942.15,319411,3001.00,9202
500470,TATASTEEL,A,470,473.4,463.5,469.25,617417,2896.00,8265
500325,RELIANCE,A,1019.7,1028.95,1019,1025.15,279811,2867.00,6621
532187,INDUSINDBK,A,1266.6,1269.5,1250.7,1253.55,219523,2767.00,8068
532215,AXISBANK,A,464,478.55,464,472.75,563775,2674.00,11543
540065,RBLBANK,B,391.75,411,390.1,398.15,653083,2626.00,15181
507685,WIPRO,A,469.9,473.25,464.35,466.1,557690,2603.00,4355
532286,JINDALSTEL,A,82.3,83.85,75.6,79.4,3231707,2597.00,13263
532134,BANKBARODA,A,163,168.95,162.1,167.6,1517171,2523.00,8992
532432,UNITDSPR,A,2205,2329.3,2193.65,2270.05,109136,2498.00,6750
539807,INFIBEAM,B,1279,1338,1271.15,1295.4,183266,2378.00,3657
500253,LICHSGFIN,A,548.9,562.5,547.05,557.2,418625,2331.00,7845
500696,HINDUNILVR,A,869.1,875.25,853.15,855.8,260131,2237.00,3506
530965,IOC,A,381.95,392.7,378.1,384.05,561087,2176.00,6815
500257,LUPIN,A,1515,1516.25,1488,1491.5,145145,2175.00,5105
532461,PNB,A,133.7,138.55,133.7,137.8,1497277,2051.00,8785
517334,MOTHERSUMI,A,332,345,330.65,344.05,599711,2031.00,6728
500510,LT,A,1451,1469.5,1435.05,1439.65,136499,1983.00,5399
530005,INDIACEM,A,144,149.1,141,144.85,1359083,1981.00,10866
500312,ONGC,A,205.1,207.9,203.2,204.55,924024,1907.00,5078
533286,MOIL,B,368,378.8,366.05,371.1,509809,1899.00,8328
500295,VEDL,A,258.3,259.2,255.85,257.7,733920,1891.00,5151
532155,GAIL,A,480,493.8,480,482.25,388476,1885.00,9325
500104,HINDPETRO,A,544,549.95,532.6,535.5,344594,1858.00,6692
532667,SUZLON,A,17.19,17.83,17.19,17.38,10301371,1799.00,5064
500575,VOLTAS,A,327.9,339.9,327.9,337,526343,1748.00,7787
500038,BALRAMCHIN,A,145,147,143.75,144.4,1186154,1720.00,2018
500106,IFCI,A,28,30.85,27.85,30.15,5695059,1699.00,9116
500034,BAJFINANCE,A,1000,1020,991.25,994.6,163137,1635.00,5444
534816,INFRATEL,A,351.85,356.7,351.8,353,434267,1541.00,829
